大区分,品名,相数,容量,1次,2次,結線,CP,コード,型式,定価,貴社仕切
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,150,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2014,3OT1P150K66K2C,5406000 ,1613600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,200,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2024,3OT1P200K66K2C,6687000 ,1996000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,300,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1434-2034,3OT1P300K66K2C,9320000 ,2782000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,500,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1434-2054,3OT1P500K66K2C,15281000 ,4561200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,20,JIS6K(5ﾀｯﾌﾟ),210,Y/Y,CP,1432-2124,3OT3P20K66K2C,2395000 ,714800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,30,JIS6K(5ﾀｯﾌﾟ),210,Y/Y,CP,1432-2134,3OT3P30K66K2C,2638000 ,787200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,50,JIS6K(5ﾀｯﾌﾟ),210,Y/Y,CP,1432-2154,3OT3P50K66K2C,3159000 ,942800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,75,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2180,3OT3P75K66K2C,3786000 ,1130000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,100,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2181,3OT3P100K66K2C,4448000 ,1327600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,150,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2182,3OT3P150K66K2C,5736000 ,1712000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,200,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2183,3OT3P200K66K2C,6974000 ,2081600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,300,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2140,3OT3P300K66K2C,10258000 ,3062000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,500,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2141,3OT3P500K66K2C,16338000 ,4876800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,750,JIS6K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2174,3OT3P750K66K2C,20950000 ,6253600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1000,JIS6K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2104,3OT3P1000K66K2C,27930000 ,8337200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1500,JIS6K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2117,3OT3P1500K66K2C,42110000 ,12570000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,2000,JIS6K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2127,3OT3P2000K66K2C,55854000 ,16672800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,10,JIS6-3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2015,3OT1P10K663K2,1655000 ,494000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,20,JIS6-3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2025,3OT1P20K663K2,1942000 ,579600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,30,JIS6-3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2035,3OT1P30K663K2,2203000 ,657600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,50,JIS6-3K(3ﾀｯﾌﾟ),210-105,単三専用,CP,1432-2055,3OT1P50K663K2,2705000 ,807200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,75,JIS6-3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2075,3OT1P75K663K2,3349000 ,999600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,100,JIS6-3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2005,3OT1P100K663K2,4046000 ,1207600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,150,JIS6-3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2015,3OT1P150K663K2,5406000 ,1613600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,200,JIS6-3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2025,3OT1P200K663K2,6687000 ,1996000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,300,JIS6-3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1434-2035,3OT1P300K663K2,9320000 ,2782000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,500,JIS6-3K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1434-2055,3OT1P500K663K2,15281000 ,4561200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,20,JIS6-3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2126,3OT3P20K663K2,2395000 ,714800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,30,JIS6-3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2136,3OT3P30K663K2,2638000 ,787200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,50,JIS6-3K(3ﾀｯﾌﾟ),210,Y/Y,CP,1432-2156,3OT3P50K663K2,3159000 ,942800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,75,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2184,3OT3P75K663K2,3786000 ,1130000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,100,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2100,3OT3P100K663K2,4448000 ,1327600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,150,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2120,3OT3P150K663K2,5736000 ,1712000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,200,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2130,3OT3P200K663K2,6974000 ,2081600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,300,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2142,3OT3P300K663K2,10258000 ,3062000 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,500,JIS6-3K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2143,3OT3P500K663K2,16338000 ,4876800 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,750,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2144,3OT3P750K663K2,20950000 ,6253600 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1000,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2145,3OT3P1000K663K2,27930000 ,8337200 
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1500,JIS6-3K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2146,3OT3P1500K663K2,42110000 ,12570000 
