大区分,品名,相数,容量,1次,2次,結線,CP,コード,型式,定価,貴社仕切
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,75,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2074,3OT1P75K66K2C,"¥3,349,000","¥999,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,100,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2004,3OT1P100K66K2C,"¥4,046,000","¥1,207,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,150,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2014,3OT1P150K66K2C,"¥5,406,000","¥1,613,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,200,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1433-2024,3OT1P200K66K2C,"¥6,687,000","¥1,996,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,300,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1434-2034,3OT1P300K66K2C,"¥9,320,000","¥2,782,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,1,500,JIS6K(5ﾀｯﾌﾟ),210-105,単三専用,CP,1434-2054,3OT1P500K66K2C,"¥15,281,000","¥4,561,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,20,JIS6K(5ﾀｯﾌﾟ),210,Y/Y,CP,1432-2124,3OT3P20K66K2C,"¥2,395,000","¥714,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,30,JIS6K(5ﾀｯﾌﾟ),210,Y/Y,CP,1432-2134,3OT3P30K66K2C,"¥2,638,000","¥787,200"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,50,JIS6K(5ﾀｯﾌﾟ),210,Y/Y,CP,1432-2154,3OT3P50K66K2C,"¥3,159,000","¥942,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,75,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2180,3OT3P75K66K2C,"¥3,786,000","¥1,130,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,100,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2181,3OT3P100K66K2C,"¥4,448,000","¥1,327,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,150,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2182,3OT3P150K66K2C,"¥5,736,000","¥1,712,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,200,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1433-2183,3OT3P200K66K2C,"¥6,974,000","¥2,081,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,300,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2140,3OT3P300K66K2C,"¥10,258,000","¥3,062,000"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,500,JIS6K(5ﾀｯﾌﾟ),210,Y/Δ,CP,1434-2141,3OT3P500K66K2C,"¥16,338,000","¥4,876,800"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,750,JIS6K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2174,3OT3P750K66K2C,"¥20,950,000","¥6,253,600"
油入変圧器,ﾄｯﾌﾟﾗﾝﾅｰⅢ 油入 60Hz,3,1000,JIS6K(5ﾀｯﾌﾟ),210,Δ/Δ,CP,1434-2104,3OT3P1000K66K2C,"¥27,930,000","¥8,337,200"
